	 time (data) (sorted)
   0 ns (x x x x) (x x x x)
  10 ns (0 0 0 0) (0 0 0 0)
  20 ns (0 0 0 1) (1 0 0 0)
  30 ns (0 0 0 2) (2 0 0 0)
  40 ns (0 0 0 3) (3 0 0 0)
  50 ns (0 0 1 0) (1 0 0 0)
  60 ns (0 0 1 1) (1 1 0 0)
  70 ns (0 0 1 2) (2 1 0 0)
  80 ns (0 0 1 3) (3 1 0 0)
  90 ns (0 0 2 0) (2 0 0 0)
 100 ns (0 0 2 1) (2 1 0 0)
 110 ns (0 0 2 2) (2 2 0 0)
 120 ns (0 0 2 3) (3 2 0 0)
 130 ns (0 0 3 0) (3 0 0 0)
 140 ns (0 0 3 1) (3 1 0 0)
 150 ns (0 0 3 2) (3 2 0 0)
 160 ns (0 0 3 3) (3 3 0 0)
 170 ns (0 1 0 0) (1 0 0 0)
 180 ns (0 1 0 1) (1 1 0 0)
 190 ns (0 1 0 2) (2 1 0 0)
 200 ns (0 1 0 3) (3 1 0 0)
 210 ns (0 1 1 0) (1 1 0 0)
 220 ns (0 1 1 1) (1 1 1 0)
 230 ns (0 1 1 2) (2 1 1 0)
 240 ns (0 1 1 3) (3 1 1 0)
 250 ns (0 1 2 0) (2 1 0 0)
 260 ns (0 1 2 1) (2 1 1 0)
 270 ns (0 1 2 2) (2 2 1 0)
 280 ns (0 1 2 3) (3 2 1 0)
 290 ns (0 1 3 0) (3 1 0 0)
 300 ns (0 1 3 1) (3 1 1 0)
 310 ns (0 1 3 2) (3 2 1 0)
 320 ns (0 1 3 3) (3 3 1 0)
 330 ns (0 2 0 0) (2 0 0 0)
 340 ns (0 2 0 1) (2 1 0 0)
 350 ns (0 2 0 2) (2 2 0 0)
 360 ns (0 2 0 3) (3 2 0 0)
 370 ns (0 2 1 0) (2 1 0 0)
 380 ns (0 2 1 1) (2 1 1 0)
 390 ns (0 2 1 2) (2 2 1 0)
 400 ns (0 2 1 3) (3 2 1 0)
 410 ns (0 2 2 0) (2 2 0 0)
 420 ns (0 2 2 1) (2 2 1 0)
 430 ns (0 2 2 2) (2 2 2 0)
 440 ns (0 2 2 3) (3 2 2 0)
 450 ns (0 2 3 0) (3 2 0 0)
 460 ns (0 2 3 1) (3 2 1 0)
 470 ns (0 2 3 2) (3 2 2 0)
 480 ns (0 2 3 3) (3 3 2 0)
 490 ns (0 3 0 0) (3 0 0 0)
 500 ns (0 3 0 1) (3 1 0 0)
