 time a b c major flags
  0ns 0 0 0 0 3
  5ns 0 0 1 0 2
 10ns 0 0 2 0 2
 15ns 0 0 3 0 2
 20ns 0 1 0 0 2
 25ns 0 1 1 1 2
 30ns 0 1 2 0 0
 35ns 0 1 3 0 0
 40ns 0 2 0 0 2
 45ns 0 2 1 0 0
 50ns 0 2 2 2 2
 55ns 0 2 3 0 0
 60ns 0 3 0 0 2
 65ns 0 3 1 0 0
 70ns 0 3 2 0 0
 75ns 0 3 3 3 2
 80ns 1 0 0 0 2
 85ns 1 0 1 1 2
 90ns 1 0 2 0 0
 95ns 1 0 3 0 0
100ns 1 1 0 1 2
105ns 1 1 1 1 3
110ns 1 1 2 1 2
115ns 1 1 3 1 2
120ns 1 2 0 0 0
125ns 1 2 1 1 2
130ns 1 2 2 2 2
135ns 1 2 3 0 0
140ns 1 3 0 0 0
145ns 1 3 1 1 2
150ns 1 3 2 0 0
155ns 1 3 3 3 2
160ns 2 0 0 0 2
165ns 2 0 1 0 0
170ns 2 0 2 2 2
175ns 2 0 3 0 0
180ns 2 1 0 0 0
185ns 2 1 1 1 2
190ns 2 1 2 2 2
195ns 2 1 3 0 0
200ns 2 2 0 2 2
205ns 2 2 1 2 2
210ns 2 2 2 2 3
215ns 2 2 3 2 2
220ns 2 3 0 0 0
225ns 2 3 1 0 0
230ns 2 3 2 2 2
235ns 2 3 3 3 2
240ns 3 0 0 0 2
245ns 3 0 1 0 0
250ns 3 0 2 0 0
255ns 3 0 3 3 2
260ns 3 1 0 0 0
265ns 3 1 1 1 2
270ns 3 1 2 0 0
275ns 3 1 3 3 2
280ns 3 2 0 0 0
285ns 3 2 1 0 0
290ns 3 2 2 2 2
295ns 3 2 3 3 2
300ns 3 3 0 3 2
305ns 3 3 1 3 2
310ns 3 3 2 3 2
315ns 3 3 3 3 3
